NO;nama provinsi;nama kabupaten kota;jenis tempat hiburan;jumlah tempat hiburan;tahun
136;JAWA BARAT;KABUPATEN BOGOR;NIGHT CLUB;0;2015
137;JAWA BARAT;KABUPATEN BOGOR;PUB;0;2015
138;JAWA BARAT;KABUPATEN BOGOR;DISKOTIK;0;2015
139;JAWA BARAT;KABUPATEN BOGOR;KARAOKE/BAR;0;2015
140;JAWA BARAT;KABUPATEN BOGOR;PANTI PIJAT;43;2015
141;JAWA BARAT;KABUPATEN SUKABUMI;NIGHT CLUB;0;2015
142;JAWA BARAT;KABUPATEN SUKABUMI;PUB;0;2015
143;JAWA BARAT;KABUPATEN SUKABUMI;DISKOTIK;0;2015
144;JAWA BARAT;KABUPATEN SUKABUMI;KARAOKE/BAR;0;2015
145;JAWA BARAT;KABUPATEN SUKABUMI;PANTI PIJAT;0;2015
146;JAWA BARAT;KABUPATEN CIANJUR;NIGHT CLUB;0;2015
147;JAWA BARAT;KABUPATEN CIANJUR;PUB;0;2015
148;JAWA BARAT;KABUPATEN CIANJUR;DISKOTIK;2;2015
149;JAWA BARAT;KABUPATEN CIANJUR;KARAOKE/BAR;8;2015
150;JAWA BARAT;KABUPATEN CIANJUR;PANTI PIJAT;0;2015
151;JAWA BARAT;KABUPATEN BANDUNG;NIGHT CLUB;0;2015
152;JAWA BARAT;KABUPATEN BANDUNG;PUB;0;2015
153;JAWA BARAT;KABUPATEN BANDUNG;DISKOTIK;0;2015
154;JAWA BARAT;KABUPATEN BANDUNG;KARAOKE/BAR;1;2015
155;JAWA BARAT;KABUPATEN BANDUNG;PANTI PIJAT;0;2015
156;JAWA BARAT;KABUPATEN GARUT;NIGHT CLUB;0;2015
157;JAWA BARAT;KABUPATEN GARUT;PUB;0;2015
158;JAWA BARAT;KABUPATEN GARUT;DISKOTIK;0;2015
159;JAWA BARAT;KABUPATEN GARUT;KARAOKE/BAR;1;2015
160;JAWA BARAT;KABUPATEN GARUT;PANTI PIJAT;0;2015
161;JAWA BARAT;KABUPATEN TASIKMALAYA;NIGHT CLUB;0;2015
162;JAWA BARAT;KABUPATEN TASIKMALAYA;PUB;0;2015
163;JAWA BARAT;KABUPATEN TASIKMALAYA;DISKOTIK;0;2015
164;JAWA BARAT;KABUPATEN TASIKMALAYA;KARAOKE/BAR;0;2015
165;JAWA BARAT;KABUPATEN TASIKMALAYA;PANTI PIJAT;0;2015
166;JAWA BARAT;KABUPATEN CIAMIS;NIGHT CLUB;0;2015
167;JAWA BARAT;KABUPATEN CIAMIS;PUB;0;2015
168;JAWA BARAT;KABUPATEN CIAMIS;DISKOTIK;0;2015
169;JAWA BARAT;KABUPATEN CIAMIS;KARAOKE/BAR;0;2015
170;JAWA BARAT;KABUPATEN CIAMIS;PANTI PIJAT;0;2015
171;JAWA BARAT;KABUPATEN KUNINGAN;NIGHT CLUB;0;2015
172;JAWA BARAT;KABUPATEN KUNINGAN;PUB;0;2015
173;JAWA BARAT;KABUPATEN KUNINGAN;DISKOTIK;0;2015
174;JAWA BARAT;KABUPATEN KUNINGAN;KARAOKE/BAR;0;2015
175;JAWA BARAT;KABUPATEN KUNINGAN;PANTI PIJAT;0;2015
176;JAWA BARAT;KABUPATEN CIREBON;NIGHT CLUB;0;2015
177;JAWA BARAT;KABUPATEN CIREBON;PUB;1;2015
178;JAWA BARAT;KABUPATEN CIREBON;DISKOTIK;0;2015
179;JAWA BARAT;KABUPATEN CIREBON;KARAOKE/BAR;1;2015
180;JAWA BARAT;KABUPATEN CIREBON;PANTI PIJAT;0;2015
181;JAWA BARAT;KABUPATEN MAJALENGKA;NIGHT CLUB;0;2015
182;JAWA BARAT;KABUPATEN MAJALENGKA;PUB;0;2015
183;JAWA BARAT;KABUPATEN MAJALENGKA;DISKOTIK;1;2015
184;JAWA BARAT;KABUPATEN MAJALENGKA;KARAOKE/BAR;1;2015
185;JAWA BARAT;KABUPATEN MAJALENGKA;PANTI PIJAT;0;2015
186;JAWA BARAT;KABUPATEN SUMEDANG;NIGHT CLUB;0;2015
187;JAWA BARAT;KABUPATEN SUMEDANG;PUB;0;2015
188;JAWA BARAT;KABUPATEN SUMEDANG;DISKOTIK;0;2015
189;JAWA BARAT;KABUPATEN SUMEDANG;KARAOKE/BAR;0;2015
190;JAWA BARAT;KABUPATEN SUMEDANG;PANTI PIJAT;0;2015
191;JAWA BARAT;KABUPATEN INDRAMAYU;NIGHT CLUB;0;2015
192;JAWA BARAT;KABUPATEN INDRAMAYU;PUB;0;2015
193;JAWA BARAT;KABUPATEN INDRAMAYU;DISKOTIK;0;2015
194;JAWA BARAT;KABUPATEN INDRAMAYU;KARAOKE/BAR;0;2015
195;JAWA BARAT;KABUPATEN INDRAMAYU;PANTI PIJAT;0;2015
196;JAWA BARAT;KABUPATEN SUBANG;NIGHT CLUB;0;2015
197;JAWA BARAT;KABUPATEN SUBANG;PUB;0;2015
198;JAWA BARAT;KABUPATEN SUBANG;DISKOTIK;0;2015
199;JAWA BARAT;KABUPATEN SUBANG;KARAOKE/BAR;13;2015
200;JAWA BARAT;KABUPATEN SUBANG;PANTI PIJAT;0;2015
201;JAWA BARAT;KABUPATEN PURWAKARTA;NIGHT CLUB;0;2015
202;JAWA BARAT;KABUPATEN PURWAKARTA;PUB;0;2015
203;JAWA BARAT;KABUPATEN PURWAKARTA;DISKOTIK;0;2015
204;JAWA BARAT;KABUPATEN PURWAKARTA;KARAOKE/BAR;7;2015
205;JAWA BARAT;KABUPATEN PURWAKARTA;PANTI PIJAT;0;2015
206;JAWA BARAT;KABUPATEN KARAWANG;NIGHT CLUB;1;2015
207;JAWA BARAT;KABUPATEN KARAWANG;PUB;1;2015
208;JAWA BARAT;KABUPATEN KARAWANG;DISKOTIK;0;2015
209;JAWA BARAT;KABUPATEN KARAWANG;KARAOKE/BAR;16;2015
210;JAWA BARAT;KABUPATEN KARAWANG;PANTI PIJAT;0;2015
211;JAWA BARAT;KABUPATEN BEKASI;NIGHT CLUB;0;2015
212;JAWA BARAT;KABUPATEN BEKASI;PUB;1;2015
213;JAWA BARAT;KABUPATEN BEKASI;DISKOTIK;0;2015
214;JAWA BARAT;KABUPATEN BEKASI;KARAOKE/BAR;25;2015
215;JAWA BARAT;KABUPATEN BEKASI;PANTI PIJAT;7;2015
216;JAWA BARAT;KABUPATEN BANDUNG BARAT;NIGHT CLUB;0;2015
217;JAWA BARAT;KABUPATEN BANDUNG BARAT;PUB;0;2015
218;JAWA BARAT;KABUPATEN BANDUNG BARAT;DISKOTIK;0;2015
219;JAWA BARAT;KABUPATEN BANDUNG BARAT;KARAOKE/BAR;2;2015
220;JAWA BARAT;KABUPATEN BANDUNG BARAT;PANTI PIJAT;0;2015
221;JAWA BARAT;KABUPATEN PANGANDARAN;NIGHT CLUB;0;2015
222;JAWA BARAT;KABUPATEN PANGANDARAN;PUB;0;2015
223;JAWA BARAT;KABUPATEN PANGANDARAN;DISKOTIK;0;2015
224;JAWA BARAT;KABUPATEN PANGANDARAN;KARAOKE/BAR;0;2015
