id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_tempat_hiburan,jumlah_tempat_hiburan,satuan,tahun
108,32,JAWA BARAT,3274,KOTA CIREBON,DISKOTIK,0,UNIT,2014
109,32,JAWA BARAT,3274,KOTA CIREBON,KARAOKE/BAR,2,UNIT,2014
110,32,JAWA BARAT,3274,KOTA CIREBON,PANTI PIJAT,0,UNIT,2014
111,32,JAWA BARAT,3275,KOTA BEKASI,NIGHT CLUB,0,UNIT,2014
112,32,JAWA BARAT,3275,KOTA BEKASI,PUB,0,UNIT,2014
113,32,JAWA BARAT,3275,KOTA BEKASI,DISKOTIK,1,UNIT,2014
114,32,JAWA BARAT,3275,KOTA BEKASI,KARAOKE/BAR,3,UNIT,2014
115,32,JAWA BARAT,3275,KOTA BEKASI,PANTI PIJAT,0,UNIT,2014
116,32,JAWA BARAT,3276,KOTA DEPOK,NIGHT CLUB,0,UNIT,2014
117,32,JAWA BARAT,3276,KOTA DEPOK,PUB,0,UNIT,2014
118,32,JAWA BARAT,3276,KOTA DEPOK,DISKOTIK,0,UNIT,2014
119,32,JAWA BARAT,3276,KOTA DEPOK,KARAOKE/BAR,0,UNIT,2014
120,32,JAWA BARAT,3276,KOTA DEPOK,PANTI PIJAT,0,UNIT,2014
121,32,JAWA BARAT,3277,KOTA CIMAHI,NIGHT CLUB,0,UNIT,2014
122,32,JAWA BARAT,3277,KOTA CIMAHI,PUB,0,UNIT,2014
123,32,JAWA BARAT,3277,KOTA CIMAHI,DISKOTIK,0,UNIT,2014
124,32,JAWA BARAT,3277,KOTA CIMAHI,KARAOKE/BAR,0,UNIT,2014
125,32,JAWA BARAT,3277,KOTA CIMAHI,PANTI PIJAT,0,UNIT,2014
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NIGHT CLUB,0,UNIT,2014
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PUB,0,UNIT,2014
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DISKOTIK,0,UNIT,2014
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KARAOKE/BAR,5,UNIT,2014
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PANTI PIJAT,0,UNIT,2014
131,32,JAWA BARAT,3279,KOTA BANJAR,NIGHT CLUB,0,UNIT,2014
132,32,JAWA BARAT,3279,KOTA BANJAR,PUB,0,UNIT,2014
133,32,JAWA BARAT,3279,KOTA BANJAR,DISKOTIK,0,UNIT,2014
134,32,JAWA BARAT,3279,KOTA BANJAR,KARAOKE/BAR,0,UNIT,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,PANTI PIJAT,0,UNIT,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,NIGHT CLUB,0,UNIT,2015
137,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUB,0,UNIT,2015
138,32,JAWA BARAT,3201,KABUPATEN BOGOR,DISKOTIK,0,UNIT,2015
139,32,JAWA BARAT,3201,KABUPATEN BOGOR,KARAOKE/BAR,0,UNIT,2015
140,32,JAWA BARAT,3201,KABUPATEN BOGOR,PANTI PIJAT,43,UNIT,2015
141,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NIGHT CLUB,0,UNIT,2015
142,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUB,0,UNIT,2015
143,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DISKOTIK,0,UNIT,2015
144,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KARAOKE/BAR,0,UNIT,2015
145,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PANTI PIJAT,0,UNIT,2015
146,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NIGHT CLUB,0,UNIT,2015
147,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUB,0,UNIT,2015
148,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DISKOTIK,2,UNIT,2015
149,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KARAOKE/BAR,8,UNIT,2015
150,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PANTI PIJAT,0,UNIT,2015
151,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NIGHT CLUB,0,UNIT,2015
152,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUB,0,UNIT,2015
153,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DISKOTIK,0,UNIT,2015
154,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KARAOKE/BAR,1,UNIT,2015
155,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PANTI PIJAT,0,UNIT,2015
156,32,JAWA BARAT,3205,KABUPATEN GARUT,NIGHT CLUB,0,UNIT,2015
157,32,JAWA BARAT,3205,KABUPATEN GARUT,PUB,0,UNIT,2015
158,32,JAWA BARAT,3205,KABUPATEN GARUT,DISKOTIK,0,UNIT,2015
159,32,JAWA BARAT,3205,KABUPATEN GARUT,KARAOKE/BAR,1,UNIT,2015
160,32,JAWA BARAT,3205,KABUPATEN GARUT,PANTI PIJAT,0,UNIT,2015
161,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NIGHT CLUB,0,UNIT,2015
162,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PUB,0,UNIT,2015
163,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DISKOTIK,0,UNIT,2015
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KARAOKE/BAR,0,UNIT,2015
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PANTI PIJAT,0,UNIT,2015
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NIGHT CLUB,0,UNIT,2015
167,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PUB,0,UNIT,2015
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DISKOTIK,0,UNIT,2015
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KARAOKE/BAR,0,UNIT,2015
170,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PANTI PIJAT,0,UNIT,2015
171,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NIGHT CLUB,0,UNIT,2015
172,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PUB,0,UNIT,2015
173,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DISKOTIK,0,UNIT,2015
174,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KARAOKE/BAR,0,UNIT,2015
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PANTI PIJAT,0,UNIT,2015
176,32,JAWA BARAT,3209,KABUPATEN CIREBON,NIGHT CLUB,0,UNIT,2015
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,PUB,1,UNIT,2015
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,DISKOTIK,0,UNIT,2015
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,KARAOKE/BAR,1,UNIT,2015
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,PANTI PIJAT,0,UNIT,2015
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NIGHT CLUB,0,UNIT,2015
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PUB,0,UNIT,2015
183,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DISKOTIK,1,UNIT,2015
184,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KARAOKE/BAR,1,UNIT,2015
185,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PANTI PIJAT,0,UNIT,2015
186,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NIGHT CLUB,0,UNIT,2015
187,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PUB,0,UNIT,2015
188,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DISKOTIK,0,UNIT,2015
189,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KARAOKE/BAR,0,UNIT,2015
190,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PANTI PIJAT,0,UNIT,2015
191,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NIGHT CLUB,0,UNIT,2015
192,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PUB,0,UNIT,2015
193,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DISKOTIK,0,UNIT,2015
194,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KARAOKE/BAR,0,UNIT,2015
195,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PANTI PIJAT,0,UNIT,2015
196,32,JAWA BARAT,3213,KABUPATEN SUBANG,NIGHT CLUB,0,UNIT,2015
197,32,JAWA BARAT,3213,KABUPATEN SUBANG,PUB,0,UNIT,2015
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,DISKOTIK,0,UNIT,2015
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,KARAOKE/BAR,13,UNIT,2015
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,PANTI PIJAT,0,UNIT,2015
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NIGHT CLUB,0,UNIT,2015
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PUB,0,UNIT,2015
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISKOTIK,0,UNIT,2015
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KARAOKE/BAR,7,UNIT,2015
205,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PANTI PIJAT,0,UNIT,2015
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NIGHT CLUB,1,UNIT,2015
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PUB,1,UNIT,2015
208,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DISKOTIK,0,UNIT,2015
209,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KARAOKE/BAR,16,UNIT,2015
210,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PANTI PIJAT,0,UNIT,2015
211,32,JAWA BARAT,3216,KABUPATEN BEKASI,NIGHT CLUB,0,UNIT,2015
212,32,JAWA BARAT,3216,KABUPATEN BEKASI,PUB,1,UNIT,2015
213,32,JAWA BARAT,3216,KABUPATEN BEKASI,DISKOTIK,0,UNIT,2015
214,32,JAWA BARAT,3216,KABUPATEN BEKASI,KARAOKE/BAR,25,UNIT,2015
215,32,JAWA BARAT,3216,KABUPATEN BEKASI,PANTI PIJAT,7,UNIT,2015
216,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NIGHT CLUB,0,UNIT,2015
217,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PUB,0,UNIT,2015
218,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DISKOTIK,0,UNIT,2015
219,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KARAOKE/BAR,2,UNIT,2015
220,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PANTI PIJAT,0,UNIT,2015
221,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NIGHT CLUB,0,UNIT,2015
222,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PUB,0,UNIT,2015
223,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DISKOTIK,0,UNIT,2015
224,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KARAOKE/BAR,0,UNIT,2015
225,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PANTI PIJAT,0,UNIT,2015
226,32,JAWA BARAT,3271,KOTA BOGOR,NIGHT CLUB,0,UNIT,2015
227,32,JAWA BARAT,3271,KOTA BOGOR,PUB,0,UNIT,2015
228,32,JAWA BARAT,3271,KOTA BOGOR,DISKOTIK,0,UNIT,2015
229,32,JAWA BARAT,3271,KOTA BOGOR,KARAOKE/BAR,0,UNIT,2015
230,32,JAWA BARAT,3271,KOTA BOGOR,PANTI PIJAT,0,UNIT,2015
231,32,JAWA BARAT,3272,KOTA SUKABUMI,NIGHT CLUB,0,UNIT,2015
232,32,JAWA BARAT,3272,KOTA SUKABUMI,PUB,0,UNIT,2015
233,32,JAWA BARAT,3272,KOTA SUKABUMI,DISKOTIK,1,UNIT,2015
234,32,JAWA BARAT,3272,KOTA SUKABUMI,KARAOKE/BAR,10,UNIT,2015
235,32,JAWA BARAT,3272,KOTA SUKABUMI,PANTI PIJAT,0,UNIT,2015
236,32,JAWA BARAT,3273,KOTA BANDUNG,NIGHT CLUB,12,UNIT,2015
237,32,JAWA BARAT,3273,KOTA BANDUNG,PUB,19,UNIT,2015
238,32,JAWA BARAT,3273,KOTA BANDUNG,DISKOTIK,3,UNIT,2015
239,32,JAWA BARAT,3273,KOTA BANDUNG,KARAOKE/BAR,56,UNIT,2015
240,32,JAWA BARAT,3273,KOTA BANDUNG,PANTI PIJAT,29,UNIT,2015
241,32,JAWA BARAT,3274,KOTA CIREBON,NIGHT CLUB,1,UNIT,2015
242,32,JAWA BARAT,3274,KOTA CIREBON,PUB,0,UNIT,2015
243,32,JAWA BARAT,3274,KOTA CIREBON,DISKOTIK,0,UNIT,2015
244,32,JAWA BARAT,3274,KOTA CIREBON,KARAOKE/BAR,2,UNIT,2015
245,32,JAWA BARAT,3274,KOTA CIREBON,PANTI PIJAT,0,UNIT,2015
246,32,JAWA BARAT,3275,KOTA BEKASI,NIGHT CLUB,0,UNIT,2015
247,32,JAWA BARAT,3275,KOTA BEKASI,PUB,0,UNIT,2015
248,32,JAWA BARAT,3275,KOTA BEKASI,DISKOTIK,1,UNIT,2015
249,32,JAWA BARAT,3275,KOTA BEKASI,KARAOKE/BAR,3,UNIT,2015
250,32,JAWA BARAT,3275,KOTA BEKASI,PANTI PIJAT,0,UNIT,2015
251,32,JAWA BARAT,3276,KOTA DEPOK,NIGHT CLUB,0,UNIT,2015
252,32,JAWA BARAT,3276,KOTA DEPOK,PUB,0,UNIT,2015
253,32,JAWA BARAT,3276,KOTA DEPOK,DISKOTIK,0,UNIT,2015
254,32,JAWA BARAT,3276,KOTA DEPOK,KARAOKE/BAR,0,UNIT,2015
255,32,JAWA BARAT,3276,KOTA DEPOK,PANTI PIJAT,0,UNIT,2015
256,32,JAWA BARAT,3277,KOTA CIMAHI,NIGHT CLUB,0,UNIT,2015
257,32,JAWA BARAT,3277,KOTA CIMAHI,PUB,0,UNIT,2015
258,32,JAWA BARAT,3277,KOTA CIMAHI,DISKOTIK,0,UNIT,2015
259,32,JAWA BARAT,3277,KOTA CIMAHI,KARAOKE/BAR,0,UNIT,2015
260,32,JAWA BARAT,3277,KOTA CIMAHI,PANTI PIJAT,0,UNIT,2015
261,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NIGHT CLUB,0,UNIT,2015
262,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PUB,0,UNIT,2015
263,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DISKOTIK,0,UNIT,2015
